"","name","sf1","sf2","sf3"
"1","(Intercept)",0,0,0
"2","sentiment_prob_pos",5.71896680361253e-32,1.01835199995552e-11,1.27467170256435e-10
"3","sentiment_prob_neg",0.0136032613968617,0.00043303962681719,0.0114109033575029
"4","lexdiv_cttr",3.82448384663396e-80,7.83305647905106e-25,5.19119003034151e-09
"5","num_punct",0.0392890872889159,0.0267901960270367,0.0363040562676876
"6","num_sentences",5.58387919297635e-07,0.579869447121682,0.989521614280112
"7","SMOG_readability",1.45398342827966e-10,0.00685229059300788,0.356506263788598
"8","second_personTRUE",0.000332478476960364,0.0582748756780343,0.390122250562211
"9","user_follower",4.70308805753797e-15,2.96433919626547e-09,0.0528608962561702
"10","cosine_1",0.0544468522616974,0.777440396309367,0.210206108714
"11","hours_since_article",0,1.18456433535679e-258,9.98589564258913e-05
"12","votes_pos_mean",7.85685813442422e-42,8.8067017485076e-44,8.48307680072893e-53
"13","votes_neg_mean",1.05113071989363e-05,4.76411341027786e-22,1.0010553554316e-21
"14","article_comments",1.50918014580689e-12,0.000539765394898705,2.57765868922234e-85
"15","factor(genre1)/diestandard",4.54649442754281e-17,0.392884872050643,0.878761707093811
"16","factor(genre1)/diskurs",0.00898469882023748,0.0332652937601483,0.962431951640646
"17","factor(genre1)/etat",0.000810931913578121,0.166119838056827,0.31670540765067
"18","factor(genre1)/international",0.00011861523696957,0.000268286928188606,0.508900435501722
"19","factor(genre1)/kultur",7.47263236713448e-11,5.86426685676564e-05,0.0101388045367476
"20","factor(genre1)/lifestyle",2.15274243054925e-38,2.77356428681284e-06,0.000255716577322844
"21","factor(genre1)/panorama",9.50076076269142e-11,0.505524560239275,0.77149917267541
"22","factor(genre1)/podcast",0.00676901254708124,0.87596964149811,0.00740165804254524
"23","factor(genre1)/recht",0.197835292291136,0.87194448634888,0.882287132775097
"24","factor(genre1)/sport",1.91068497841243e-18,0.00519928912581758,0.011835483571294
"25","factor(genre1)/video",8.534432370112e-09,0.0474928970382028,0.717350022005594
"26","factor(genre1)/web",1.52338412412251e-22,2.88738608452499e-07,0.00295868328839296
"27","factor(genre1)/wirtschaft",0.000993378248464332,0.945545413995548,0.779327889767899
"28","factor(genre1)/wissenschaft",1.28010486441978e-83,2.00140936957731e-08,1.89146154370345e-17
"29","is_leaf_commentTRUE",NA,0,0
"30","size_of_tree",NA,0,0
"31","height_of_tree",NA,4.08702012607874e-303,4.48234826096646e-59
"32","all_replies",NA,0,0
"33","votes_neg_log",NA,NA,4.52271357614596e-102
"34","votes_pos_log",NA,NA,0
